"lang_n","area","x1","int","area_ints","lang_ints","error","effect","response"
1,"area_1",3.99,0.46,-11.2235379743359,1.75379268729755,-6.34557192718579,11.97,-3.38531721422419
2,"area_1",3.79,0.46,-11.2235379743359,-1.29110020945761,9.45904880262121,11.37,8.77441061882766
3,"area_1",1.74,0.46,-11.2235379743359,-2.07677417646596,2.67737965300602,5.22,-4.94293249779589
4,"area_1",0.3,0.46,-11.2235379743359,-1.15876764294114,-6.71533879328765,0.9,-17.7376444105647
5,"area_1",1.94,0.46,-11.2235379743359,-1.16801589557426,21.0434949651557,5.82,14.9319410952455
6,"area_1",0.51,0.46,-11.2235379743359,-1.48580648842533,-0.168978419064794,1.53,-10.8883228818261
7,"area_1",3.38,0.46,-11.2235379743359,1.36927898755722,-4.17815346708644,10.14,-3.43241245386517
8,"area_1",2.15,0.46,-11.2235379743359,-1.92859215543623,-12.9774855587202,6.45,-19.2196156884924
9,"area_1",0.71,0.46,-11.2235379743359,-2.74702785357887,-10.9286775289782,2.13,-22.309243356893
10,"area_1",1.33,0.46,-11.2235379743359,-0.993311580512272,-5.00816853286918,3.99,-12.7750180877174
11,"area_1",1.12,0.46,-11.2235379743359,-1.23259699088589,10.4205926729639,3.36,1.78445770774201
12,"area_1",2.56,0.46,-11.2235379743359,1.88733029051921,-13.138799546025,7.68,-14.3350072298417
13,"area_1",2.76,0.46,-11.2235379743359,0.463918257203706,-21.0799249304665,8.28,-23.0995446475988
14,"area_1",2.97,0.46,-11.2235379743359,1.34074634791353,2.98635313874071,8.91,2.47356151231829
15,"area_1",4.2,0.46,-11.2235379743359,2.86196861211333,-9.91769069186474,12.6,-5.21926005408736
16,"area_1",2.35,0.46,-11.2235379743359,1.26962161792109,-6.51020562972859,7.05,-8.95412198614344
17,"area_1",3.58,0.46,-11.2235379743359,1.67184715450307,-5.842380368362,10.74,-4.19407118819488
18,"area_1",0.92,0.46,-11.2235379743359,-1.70959526026137,6.09012027933046,2.76,-3.62301295526685
19,"area_1",3.17,0.46,-11.2235379743359,0.428939074137469,-12.1068594857613,9.51,-12.9314583859598
20,"area_1",1.53,0.46,-11.2235379743359,-0.119796212645304,-3.65464641133122,4.59,-9.94798059831247
21,"area_2",3.99,0.46,4.5463857367568,1.75379268729755,-2.54934063450858,11.97,16.1808377895458
22,"area_2",3.79,0.46,4.5463857367568,-1.29110020945761,-8.82213155088315,11.37,6.26315397641603
23,"area_2",1.74,0.46,4.5463857367568,-2.07677417646596,15.6064099226787,5.22,23.7560214829695
24,"area_2",0.3,0.46,4.5463857367568,-1.15876764294114,-3.14844219256761,0.9,1.59917590124805
25,"area_2",1.94,0.46,4.5463857367568,-1.16801589557426,-2.49194885539912,5.82,7.16642098578342
26,"area_2",0.51,0.46,4.5463857367568,-1.48580648842533,6.85426034540416,1.53,11.9048395937356
27,"area_2",3.38,0.46,4.5463857367568,1.36927898755722,1.30337616984785,10.14,17.8190408941619
28,"area_2",2.15,0.46,4.5463857367568,-1.92859215543623,-5.49535681460571,6.45,4.03243676671486
29,"area_2",0.71,0.46,4.5463857367568,-2.74702785357887,-3.71423323815211,2.13,0.675124645025816
30,"area_2",1.33,0.46,4.5463857367568,-0.993311580512272,-11.1497817786689,3.99,-3.14670762242439
31,"area_2",1.12,0.46,4.5463857367568,-1.23259699088589,4.28727939519586,3.36,11.4210681410668
32,"area_2",2.56,0.46,4.5463857367568,1.88733029051921,-15.227986906451,7.68,-0.654270879175005
